,distance%,Natufian,Iran-Chalcolithic,Iberomaurusian,Dinka,Yoruba
EgyptianA,0.047268,47.6,42,2.6,0,7.8
EgyptianB,0.04962776,46.2,41.2,2,2.6,8
Egyptian_Copt,0.05248715,56.6,39.2,0.2,4,0
Egyptian-o,0.04777816,43.8,37.2,2.2,7.4,9.4
Iron-Age-Egyptian,0.05982772,63,37,0,0,0
Samaritan,0.06359559,41.2,58.8,0,0,0
Saudi,0.05689754,65.6,34.4,0,0,0
SaudiA,0.05042263,57,43,0,0,0
SaudiB,0.04497568,57.2,39.2,0,3.6,0
Saudi_Jizan,0.04346702,68,30.8,0,1.2,0
Saudi_Mecca,0.05011513,64.2,35.8,0,0,0
Saudi_Najd,0.05200956,62.2,37.8,0,0,0
BedouinA,0.04252892,44.2,50.8,0.8,0,4.2
BedouinB,0.05097414,68.2,31.8,0,0,0
Yemenite_Al_Bayda,0.04260249,64,35.6,0,0.4,0
Yemenite_Al_Jawf,0.05269277,66.2,33.8,0,0,0
Yemenite_Amran,0.03885666,58,41.8,0,0.2,0
Yemenite_Dhamar,0.04252971,63,36,0,1,0
Yemenite_Hadramaut,0.04159393,59.2,37.4,0,3.4,0
Yemenite_Hajjah,0.04363635,60.6,31.8,0,3.2,4.4
Yemenite_Ibb,0.03958152,59.6,37,0,3.4,0
Yemenite_Jew,0.05146056,62.8,37.2,0,0,0
Yemenite_Mahra,0.05149277,71,29,0,0,0
Yemenite_Ma'rib,0.04847987,65,35,0,0,0
Early-Bronze-Jordan,0.05717414,57,43,0,0,0
