,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
EgyptianA,-0.00498,0.133669,-0.044948,-0.088179,-0.005597,-0.034025,-0.013763,0.001197,0.038974,0.000467,0.008688,-0.008758,0.024622,0.002727,0.001527,0.000481,-0.001279,-0.003262,-0.003622,0.001993,-0.000881,-0.000402,0.001078,0.001664,0.000292
EgyptianB,-0.020741,0.13563,-0.040603,-0.086206,-0.004103,-0.033374,-0.014819,0.000615,0.035678,0.00165,0.005774,-0.00955,0.020879,0.000398,-0.001847,-0.000103,-0.003151,-0.00271,-0.003198,0.002279,-0.00095,-0.002885,0.000397,0.001232,-0.000905
Egyptian_Copt,0.023334,0.141666,-0.049214,-0.103953,0.000667,-0.042624,-0.014179,-0.002308,0.045472,0.003128,0.006333,-0.012664,0.028692,0.003762,-0.000656,0.001149,-0.004694,0.00095,-0.002598,0.004398,0.003057,0.001504,0.00152,0.003569,-0.001956
Egyptian-o,-0.062603,0.131173,-0.04142,-0.079351,-0.002975,-0.029097,-0.015511,0.003038,0.04053,-0.001033,0.00498,-0.006344,0.020367,-2.3e-05,-0.002172,-0.002585,-0.00615,-0.003611,-0.002221,0.004064,0.002454,0,0.002568,0.002852,-0.002096
Iron-Age-Egyptian,0.050651,0.146744,-0.041672,-0.1187035,-0.001846,-0.0490845,-0.012573,-0.004154,0.048063,0.006196,0.0089315,-0.014387,0.028989,-0.003578,-0.002375,-0.0049725,-0.007888,0.0007605,-0.0063475,0.014257,0.0056775,0.003462,0.004437,0.0013255,0.0004195
Samaritan,0.085367,0.148674,-0.057398,-0.092508,-0.009602,-0.035029,-0.002209,-0.008169,0.016321,0.008237,0.009159,-0.009921,0.020485,0.011863,-0.005537,0.002121,-0.011239,0.001014,0.002112,-0.003652,-0.000524,0.003116,0.000567,-0.00294,0.004646
Saudi,0.053393,0.141712,-0.064899,-0.114607,-0.012422,-0.04693,-0.012242,-0.008727,0.050424,-0.005169,0.017405,-0.032426,0.06383,0.00314,0.003924,0.029037,-0.022568,0.004814,-0.001394,0.031481,0.013023,0.018154,-0.007462,0.008884,-0.010113
SaudiA,0.065603,0.135158,-0.061197,-0.099984,-0.012869,-0.039679,-0.011045,-0.007573,0.042281,-0.006229,0.012843,-0.026554,0.052518,0.006944,0.002209,0.020997,-0.023173,0.006058,-0.000583,0.019202,0.008701,0.013962,-0.00605,0.004875,-0.008045
SaudiB,0.023903,0.13259,-0.056804,-0.096416,-0.012406,-0.037912,-0.008695,-0.004486,0.048012,-0.008998,0.010454,-0.021759,0.048064,0.007423,0.003588,0.014436,-0.023746,0.006065,0.000196,0.016258,0.007986,0.011314,-0.00456,0.004782,-0.00592
Saudi_Jizan,0.030732,0.142682,-0.056757,-0.115312,-0.007078,-0.045599,-0.007755,-0.00773,0.06105,-0.005011,0.01494,-0.025477,0.053964,0.00234,0.005632,0.026916,-0.010887,0.006714,0.005091,0.023011,0.0068,0.010016,-0.007518,0.002952,-0.007484
Saudi_Mecca,0.049183,0.137863,-0.057888,-0.111759,-0.004462,-0.044762,-0.010693,-0.004038,0.049699,-0.002005,0.013397,-0.026451,0.050991,0.001789,0.004004,0.011138,-0.011539,0.001116,-0.002954,0.026725,0.015065,0.017353,-0.005084,0.006544,-0.008195
Saudi_Najd,0.058355,0.139236,-0.062099,-0.10831,-0.012883,-0.041101,-0.011535,-0.009101,0.048862,-0.002836,0.014403,-0.028644,0.058804,0.00385,0.00452,0.026069,-0.026184,0.004548,-0.000216,0.02558,0.009802,0.015019,-0.003869,0.004434,-0.007231
BedouinA,0.028582,0.133599,-0.047601,-0.08276,-0.013883,-0.032351,-0.010706,-0.004641,0.023452,-0.00162,0.008173,-0.010724,0.024744,0.000474,0.001568,0.007057,-0.002738,-0.002238,-0.003408,0.008254,0.000208,0.002528,0.000192,0.001767,-0.001597
BedouinB,0.041924,0.143923,-0.059815,-0.116981,-0.009318,-0.048062,-0.014101,-0.008743,0.05154,-0.005204,0.015869,-0.030573,0.062949,0.004855,0.004396,0.028853,-0.019971,0.00366,-0.004015,0.029,0.010967,0.01523,-0.003917,0.007103,-0.008309
Yemenite_Al_Bayda,0.0387,0.13862,-0.062665,-0.107398,-0.010156,-0.04848,-0.013161,-0.010153,0.054131,-0.005983,0.010961,-0.028799,0.050916,0.004106,0.006379,0.024198,-0.018471,0.007158,0.000838,0.017925,0.009774,0.016178,-0.007436,0.001125,-0.003752
Yemenite_Al_Jawf,0.049228,0.141412,-0.063073,-0.115554,-0.010694,-0.047342,-0.0094,-0.007154,0.058136,-0.002597,0.012869,-0.031435,0.057309,0.003888,0.0038,0.01959,-0.02047,0.003991,0.003174,0.022136,0.0107,0.014715,-0.013064,0.008555,-0.008562
Yemenite_Amran,0.045855,0.135428,-0.061525,-0.101445,-0.01486,-0.042152,-0.008729,-0.007763,0.04501,-0.004256,0.01175,-0.022962,0.04651,0.005259,0.003994,0.017256,-0.014137,0.004253,0.001832,0.015704,0.006925,0.009521,-0.00633,0.004174,-0.004781
Yemenite_Dhamar,0.035538,0.141159,-0.058537,-0.110574,-0.009574,-0.047225,-0.013735,-0.008025,0.049245,-0.007856,0.013785,-0.026393,0.049273,0.005948,0.003484,0.015248,-0.016211,0.004575,0.000656,0.017036,0.010107,0.011417,-0.006957,0.004231,-0.00306
Yemenite_Hadramaut,0.022196,0.128972,-0.066939,-0.099969,-0.013233,-0.038905,-0.016686,-0.002192,0.052767,-0.006743,0.008119,-0.02278,0.051362,0.002615,0.004614,0.025325,-0.009388,0.003231,0.002388,0.023136,0.012104,0.005441,-0.00721,0.003193,-0.003054
Yemenite_Hajjah,-0.007968,0.133034,-0.058077,-0.101422,-0.004616,-0.04518,-0.018096,-0.007154,0.051745,-0.012939,0.01429,-0.020831,0.048463,0.010184,0.00095,0.009281,-0.021383,-0.002914,0.003142,0.015758,0.006114,0.00779,-0.006286,0.006386,-0.003473
Yemenite_Ibb,0.022386,0.135065,-0.059585,-0.101745,-0.012823,-0.045273,-0.009244,-0.006384,0.049972,-0.007775,0.012504,-0.026626,0.045787,0.00422,0.005519,0.022275,-0.007215,0.004054,-0.001131,0.018009,0.009234,0.012654,-0.006655,0.005342,-0.00459
Yemenite_Jew,0.050651,0.144916,-0.063469,-0.113761,-0.012002,-0.046714,-0.012785,-0.008561,0.04884,-0.007144,0.012212,-0.026646,0.053726,0.004927,0.003746,0.015738,-0.024512,0.005524,0.005744,0.022836,0.01264,0.015457,-0.00742,0.004266,-0.006023
Yemenite_Mahra,0.054256,0.136081,-0.068259,-0.121197,-0.003727,-0.056305,-0.01303,-0.00882,0.06288,-0.002045,0.016798,-0.032571,0.065741,0.005841,0.008053,0.027078,-0.021064,0.002872,-0.001913,0.024831,0.013726,0.016089,-0.008737,0.002785,-0.005229
Yemenite_Ma'rib,0.044846,0.143799,-0.061244,-0.117056,-0.009232,-0.047913,-0.011045,-0.004569,0.053626,-0.007581,0.014712,-0.027126,0.051437,0.005587,0.000489,0.020154,-0.021383,0.00451,0.002589,0.018309,0.01143,0.013132,-0.006729,0.004651,-0.005485
Early-Bronze-Jordan,0.0755027,0.1482673,-0.0619737,-0.1152043,-0.0080013,-0.0488987,-0.0097137,-0.014307,0.036337,0.0075323,0.017592,-0.0218803,0.0423187,0.0005503,-0.0031667,0.0205513,0.0021733,0.0010137,-0.0017597,0.0160493,0.0066137,0.013849,-0.0051353,0.003374,-0.0066263
