,Distance,Natufian,Iran-Chalcolithic,Dinka,Iberomaurusian,Yoruba,Mota
Bayda-Yemeni,0.04260249,64,35.6,0.4,0,0,0
Jawf-Yemeni,0.05269277,66.2,33.8,0,0,0,0
Amran-Yemeni,0.03885666,58,41.8,0.2,0,0,0
Dhamar-Yemeni,0.04252971,63,36,1,0,0,0
Hadramaut-Yemeni,0.04159393,59.2,37.4,3.4,0,0,0
Hajjah-Yemeni,0.04363635,60.6,31.8,3.2,0,4.4,0
Ibb-Yemeni,0.03958152,59.6,37,3.4,0,0,0
Jewish-Yemeni,0.05146056,62.8,37.2,0,0,0,0
Mahra-Yemeni,0.05149277,71,29,0,0,0,0
Ma'rib-Yemeni,0.04847987,65,35,0,0,0,0
