Bayda-Yemeni,0.0387,0.13862,-0.062665,-0.107398,-0.010156,-0.04848,-0.013161,-0.010153,0.054131,-0.005983,0.010961,-0.028799,0.050916,0.004106,0.006379,0.024198,-0.018471,0.007158,0.000838,0.017925,0.009774,0.016178,-0.007436,0.001125,-0.003752
Jawf-Yemeni,0.049228,0.141412,-0.063073,-0.115554,-0.010694,-0.047342,-0.0094,-0.007154,0.058136,-0.002597,0.012869,-0.031435,0.057309,0.003888,0.0038,0.01959,-0.02047,0.003991,0.003174,0.022136,0.0107,0.014715,-0.013064,0.008555,-0.008562
Amran-Yemeni,0.045855,0.135428,-0.061525,-0.101445,-0.01486,-0.042152,-0.008729,-0.007763,0.04501,-0.004256,0.01175,-0.022962,0.04651,0.005259,0.003994,0.017256,-0.014137,0.004253,0.001832,0.015704,0.006925,0.009521,-0.00633,0.004174,-0.004781
Dhamar-Yemeni,0.035538,0.141159,-0.058537,-0.110574,-0.009574,-0.047225,-0.013735,-0.008025,0.049245,-0.007856,0.013785,-0.026393,0.049273,0.005948,0.003484,0.015248,-0.016211,0.004575,0.000656,0.017036,0.010107,0.011417,-0.006957,0.004231,-0.00306
Hadramaut-Yemeni,0.022196,0.128972,-0.066939,-0.099969,-0.013233,-0.038905,-0.016686,-0.002192,0.052767,-0.006743,0.008119,-0.02278,0.051362,0.002615,0.004614,0.025325,-0.009388,0.003231,0.002388,0.023136,0.012104,0.005441,-0.00721,0.003193,-0.003054
Hajjah-Yemeni,-0.007968,0.133034,-0.058077,-0.101422,-0.004616,-0.04518,-0.018096,-0.007154,0.051745,-0.012939,0.01429,-0.020831,0.048463,0.010184,0.00095,0.009281,-0.021383,-0.002914,0.003142,0.015758,0.006114,0.00779,-0.006286,0.006386,-0.003473
Ibb-Yemeni,0.022386,0.135065,-0.059585,-0.101745,-0.012823,-0.045273,-0.009244,-0.006384,0.049972,-0.007775,0.012504,-0.026626,0.045787,0.00422,0.005519,0.022275,-0.007215,0.004054,-0.001131,0.018009,0.009234,0.012654,-0.006655,0.005342,-0.00459
Jew-Yemeni,0.050651,0.144916,-0.063469,-0.113761,-0.012002,-0.046714,-0.012785,-0.008561,0.04884,-0.007144,0.012212,-0.026646,0.053726,0.004927,0.003746,0.015738,-0.024512,0.005524,0.005744,0.022836,0.01264,0.015457,-0.00742,0.004266,-0.006023
Mahra-Yemeni,0.054256,0.136081,-0.068259,-0.121197,-0.003727,-0.056305,-0.01303,-0.00882,0.06288,-0.002045,0.016798,-0.032571,0.065741,0.005841,0.008053,0.027078,-0.021064,0.002872,-0.001913,0.024831,0.013726,0.016089,-0.008737,0.002785,-0.005229
Ma'rib-Yemeni,0.044846,0.143799,-0.061244,-0.117056,-0.009232,-0.047913,-0.011045,-0.004569,0.053626,-0.007581,0.014712,-0.027126,0.051437,0.005587,0.000489,0.020154,-0.021383,0.00451,0.002589,0.018309,0.01143,0.013132,-0.006729,0.004651,-0.005485
BedouinB,0.041924,0.143923,-0.059815,-0.116981,-0.009318,-0.048062,-0.014101,-0.008743,0.05154,-0.005204,0.015869,-0.030573,0.062949,0.004855,0.004396,0.028853,-0.019971,0.00366,-0.004015,0.029,0.010967,0.01523,-0.003917,0.007103,-0.008309
Naqab-Bedouin-B,0.041924,0.143923,-0.059815,-0.116981,-0.009318,-0.048062,-0.014101,-0.008743,0.05154,-0.005204,0.015869,-0.030573,0.062949,0.004855,0.004396,0.028853,-0.019971,0.00366,-0.004015,0.029,0.010967,0.01523,-0.003917,0.007103,-0.008309
Egyptian-Copt,0.023334,0.141666,-0.049214,-0.103953,0.000667,-0.042624,-0.014179,-0.002308,0.045472,0.003128,0.006333,-0.012664,0.028692,0.003762,-0.000656,0.001149,-0.004694,0.00095,-0.002598,0.004398,0.003057,0.001504,0.00152,0.003569,-0.001956
Iron-Age-Egyptian,0.050651,0.146744,-0.041672,-0.1187035,-0.001846,-0.0490845,-0.012573,-0.004154,0.048063,0.006196,0.0089315,-0.014387,0.028989,-0.003578,-0.002375,-0.0049725,-0.007888,0.0007605,-0.0063475,0.014257,0.0056775,0.003462,0.004437,0.0013255,0.0004195

