Target,Distance,Other,Yemenite_Marib,Egypt_ThirdIntermediatePeriod,Egyptian_Copt,Yemenite_Al_Jawf,Yemenite_Ibb,Yemenite_Mahra
Kenya_EarlyPastoralN,0.05991423,87.4,11.6,1,0,0,0,0
Kenya_HyraxHill_PastoralN,0.0693631,82.8,0,4.8,0,12.4,0,0
Kenya_IA_Pastoral,0.04425897,98,0,0,2,0,0,0
Kenya_IA_Pastoral_o,0.10316932,90.8,0,0,7.6,0,1.6,0
Kenya_LukenyaHill_PastoralN,0.06817742,97,0,3,0,0,0,0
Kenya_MoloCave_PastoralN,0.04889963,90.2,0,0,9.8,0,0,0
Kenya_PastoralN,0.06507786,94,1.4,4.6,0,0,0,0
Kenya_PastoralN_Elmenteitan,0.06215639,94.8,0,5.2,0,0,0,0
Kenya_PastoralN_Elmenteitan_o,0.06397511,93.6,0,0,0,0,0,6.4
Average,0.06499911,92.1,1.4,2.1,2.2,1.4,0.2,0.7
