,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Somali,-0.296623,0.093429,-0.026851,-0.069736,0.000954,-0.03408,-0.020493,0.005769,0.115392,-0.079674,-0.008948,-0.006669,0.005218,-0.001665,0.024728,-0.018616,0.014864,-0.001976,0.00998,-0.003839,0.000599,0.004946,-0.002736,-0.001241,-0.00279
Oromo,-0.276323,0.09552,-0.029992,-0.071231,0.002136,-0.033697,-0.008212,-0.00528,0.104427,-0.07119,-0.005712,-0.010297,0.010345,-0.00017,0.021811,-0.014265,0.015493,0.004993,0.007202,7.4e-05,0.002877,0.006226,-0.00369,0.002956,-0.002339
Afar,-0.221196,0.101553,-0.032935,-0.079997,-0.000821,-0.034861,-0.017548,0.001,0.106489,-0.062082,-0.001516,-0.010591,0.02002,-0.001009,0.024113,-0.012684,0.009735,-0.001436,0.007123,0.000584,0.005199,0.009068,-0.00189,0.006145,-0.003553
Saho,-0.206779,0.109339,-0.036706,-0.08075,-0.003591,-0.039695,-0.016607,7.7e-05,0.106557,-0.061717,-0.002652,-0.010091,0.02002,0.003945,0.024022,-0.010872,0.002521,0.001689,0.008506,0.005794,0.007612,0.006389,-0.002835,0.005262,-0.005668
Agaw,-0.224801,0.105615,-0.032998,-0.08608,0.002462,-0.04281,-0.011751,-0.004384,0.103591,-0.065969,-0.001786,-0.01109,0.017468,0,0.021647,-0.014519,0.010561,0.00095,0.006536,0.002626,0.002683,0.004081,-0.004868,0.004458,-0.007963
Beta-Israel,-0.232578,0.104769,-0.033501,-0.082419,0.001129,-0.039881,-0.0132,-0.000538,0.108091,-0.068855,-0.002409,-0.012689,0.01779,-0.000344,0.02253,-0.011867,0.009561,0.001351,0.00507,0.002272,0.006572,0.011046,-0.004149,0.003093,-0.001377
Amhara,-0.225939,0.106292,-0.035512,-0.082814,0.000718,-0.038936,-0.014231,-0.001064,0.103921,-0.063469,-0.001452,-0.013238,0.017608,0.001086,0.02259,-0.01281,0.007693,0.002126,0.006075,0.002432,0.00418,0.006691,-0.003095,0.003735,-0.001969
Tigray-Tigrinya,-0.215059,0.107109,-0.034828,-0.084854,0.000199,-0.039848,-0.016575,-0.000611,0.101287,-0.060492,-0.002359,-0.013779,0.019763,0.001449,0.021021,-0.009445,0.011604,0.000194,0.005856,0.003046,0.003853,0.006525,-0.003038,0.003055,-0.00455
Biher-Tigrinya,-0.204122,0.107984,-0.033187,-0.088395,0.002975,-0.040811,-0.015354,0.000154,0.101512,-0.061778,-0.00184,-0.01084,0.019871,0.001468,0.021896,-0.004685,0.007432,-8.5e-05,0.007793,0.002585,0.004783,0.007419,-0.001972,-0.000361,-0.003153
Wolayta,-0.311875,0.087336,-0.02577,-0.062878,-0.000102,-0.030771,-0.000862,-0.012692,0.10683,-0.07417,-0.008119,-0.01114,0.004113,-0.001789,0.025515,-0.017237,0.011517,0.006588,0.005866,-0.002043,0.00262,0.004081,-0.004396,0.000924,-0.003034
Ari,-0.415454,0.065502,-0.016782,-0.039083,0.001693,-0.018407,0.028084,-0.027807,0.104818,-0.094125,-0.011205,-0.002173,-0.011967,-0.002202,0.025448,-0.018828,0.033118,0.021157,0.004525,-0.010005,-0.002246,0.000927,-0.002342,0.001747,-0.000838
Ari-Blacksmith,-0.422284,0.064994,-0.017096,-0.036661,-0.001898,-0.020917,0.025694,-0.024499,0.103728,-0.086593,-0.01272,-0.00517,-0.0167,-0.000757,0.02581,-0.022651,0.02599,0.018855,0.005049,-0.007691,0.000229,0.003318,-0.004704,-4e-05,0.001776
Ari-Cultivator,-0.410825,0.067702,-0.018479,-0.037296,0.000102,-0.022534,0.024864,-0.024384,0.105957,-0.087546,-0.01193,-0.003367,-0.015322,-0.000239,0.025353,-0.023194,0.024025,0.018699,0.004802,-0.009129,-0.001497,0.004501,-0.002999,-0.001591,0.00075
Gumuz,-0.525673,0.048915,-0.007165,-0.01249,-0.000769,-0.007762,0.005797,-0.001961,0.095376,-0.10108,-0.020136,0.017984,-0.037562,-0.002087,0.016038,-0.020463,0.024469,0.002112,0.014413,-0.017654,-0.000873,0.003277,-0.005793,-0.003213,0.004271
Mursi,-0.525294,0.056362,-0.006222,-0.017119,-0.002616,-0.012132,-0.002468,0.004038,0.098376,-0.105788,-0.020055,0.019108,-0.039098,0.00055,0.009704,-0.021811,0.016233,0.000317,0.016278,-0.019885,-0.003182,0.004513,-0.006655,-0.003735,0.000898
Anuak,-0.572973,0.053485,0.001383,-0.006998,-0.002069,-0.002773,-0.008421,0.012846,0.078469,-0.096727,-0.01982,0.023196,-0.039147,-0.000803,0.008603,-0.016721,0.021028,-0.008319,0.019665,-0.018947,6.2e-05,0.00509,-0.004916,-0.002638,0.004617
