"","distance%","Dinka","Iberomaurusian","Jawf-Yemeni","Mota","Natufian"
"Somali",5.6147,50,4,13.4,3.6,29
"Oromo",4.2967,36.2,2.3,19.3,15.7,26.5
"Afar",4.7154,36.8,4.3,31,4.9,23
"Saho",4.8014,34.8,3,33.6,4.9,23.7
"Agaw",4.7766,33.8,2.4,24.1,9,30.7
"Beta-Israel",4.9455,36.7,1.8,22.4,7.4,31.7
"Amhara",4.4917,35.2,3,27.3,7.5,27
"Tigray-Tigrinya",4.3286,36,3.1,29.7,4.7,26.5
"Biher-Tigrinya",4.2932,37.4,1.1,26.5,2,33
"Wolayta",4.0192,31.7,3.2,14.8,26.6,23.7
"Ari",4.0555,21.9,1,0,57,20.1
"Ari-Blacksmith",3.1593,24.6,1.2,0.9,55,18.3
"Ari-Cultivator",3.4847,24.2,1,1,53.6,20.2
"Gumuz",2.6885,67.4,0.7,0,27.2,4.7
"Mursi",3.3029,76.4,0,0,17.3,6.3
"Anuak",0.7866,94.2,0,0,5.8,0
